system:index,AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature,.geo
0000000000000000244b_0,201.0,4.2326117,0.018980586994791146,30.299990333907193,90.69401011207313,2.539567,65.7523013062893,Point_9291,-0.4115206771426756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.69840266112749,30.295682956930865]}"
0000000000000000244c_0,652.0,49.408295,0.04494706981770137,24.000734122783655,95.70704314039679,29.644976,54.09998447226574,Point_9292,28.3964322037167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.71100194651443,23.99849281525302]}"
0000000000000000244d_0,272.0,27.142529,0.029193177160944973,30.289171938260434,69.74093980210846,16.285517,17.006963711388455,Point_9293,25.440669128629906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.74070708261905,30.286699804089668]}"
0000000000000000244e_0,643.0,49.11614,0.0486211109236934,24.136623044659412,94.7042396705503,29.469683,48.18287329031597,Point_9294,30.849726745817406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.70488882830055,24.133240107870947]}"
0000000000000000244f_0,620.0,43.606007,0.04068580897828614,19.65564469179783,75.3375791050987,26.163605,29.80860660244445,Point_9295,32.46999313036605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.33721130268367,19.65962999295573]}"
00000000000000002450_0,1077.0,62.503845,0.045926917219798316,27.878929348880057,83.03801006190739,37.502308,46.838737478846504,Point_9296,25.088923523161156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.03577328758797,27.87921484264935]}"
00000000000000002451_0,970.0,57.299652,0.052282522413465135,26.24874493113249,91.10245799514027,34.37979,69.17949690467655,Point_9297,27.693680196338278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.10264453898128,26.24428102555182]}"
00000000000000002452_0,309.0,35.759453,0.04130433066179445,23.01198989363025,73.41752293116727,21.455671,28.55462130050057,Point_9298,33.93165287971499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,23.010346002721544]}"
00000000000000002453_0,588.0,60.642082,0.04713231805545188,26.693811209512823,78.6692088214314,36.38525,24.874145423876296,Point_9299,33.24404776361257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6699610067671,26.693438667611584]}"
00000000000000002455_0,881.0,48.20202,0.04870900516356701,24.530619658479065,92.87606713629012,28.921211,76.73297966265793,Point_9301,27.30323491096499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.87232564869673,24.528498832883535]}"
00000000000000002456_0,332.0,27.402586,0.03787635497698595,23.591099730191875,72.12879585427387,16.441551,26.18235051519205,Point_9302,34.37863028314382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.13022573837698,23.594250937399234]}"
00000000000000002457_0,860.0,65.74731,0.049704938243797715,25.757174692201623,81.19978126814287,39.448383,27.54917899490564,Point_9303,33.52809181743203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.20321010798415,25.75919077212728]}"
00000000000000002458_0,379.0,33.55075,0.039192639705271176,24.375904416827204,75.26268492185103,20.130451,17.22795678511848,Point_9304,34.38250262472366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.26534607995411,24.375785234583216]}"
0000000000000000245a_0,489.0,33.074345,0.03897643910221265,22.010189212113467,72.98650652983125,19.844606,34.463395611408636,Point_9306,33.97069842550491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98362525829053,22.013216037348876]}"
0000000000000000245e_0,512.0,39.746326,0.0416701185936907,21.92613118711256,76.7820991618383,23.847795,25.584908754020436,Point_9310,34.063770257102135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.78349891011611,21.923384508936923]}"
0000000000000000245f_0,379.0,33.33368,0.03943309494166114,24.48925775478255,75.51980645280406,20.000208,19.968495532410298,Point_9311,34.12433408631222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.51687435950758,24.492566221518754]}"
00000000000000002460_0,860.0,58.691223,0.050721267227405636,25.023168308434713,81.83518734094889,35.214733,27.35919518113882,Point_9312,33.501507616043114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.83203080686782,25.022572239149273]}"
00000000000000002461_0,1301.0,78.27745,0.054356440219469115,26.738372483509114,89.0547094519735,46.96647,55.36554799129425,Point_9313,27.955385382970178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.05448569118877,26.73835443181756]}"
00000000000000002462_0,331.0,5.089203,0.017612790488981397,36.836812352600475,71.3113954673252,3.0535216,64.48553279183727,Point_9314,-6.522794548670447,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.31275882982821,36.83541822532098]}"
00000000000000002464_0,920.0,72.852005,0.053278054651002334,25.541204307870455,83.99561512763698,43.7112,36.840329524448165,Point_9316,32.28109610345632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.99697064159587,25.543595103938596]}"
